Date,Open,High,Low,Close,Volume
05-15-2023,309.1,309.9,307.59,309.46,16290000
05-12-2023,310.55,310.65,306.6,308.97,19770000
05-11-2023,310.1,311.12,306.26,310.11,31680000
05-10-2023,308.62,313,307.67,312.31,30080000
05-09-2023,308,310.04,306.31,307,21340000
05-08-2023,310.13,310.2,306.09,308.65,21320000
05-05-2023,305.72,311.97,304.27,310.65,28200000
05-04-2023,306.24,307.76,303.4,305.41,22200000
05-03-2023,306.62,308.61,304.09,304.4,22160000
05-02-2023,307.76,309.18,303.91,305.41,26400000
05-01-2023,306.97,308.6,305.15,305.56,21250000
04-28-2023,304.01,308.93,303.31,307.26,36470000
04-27-2023,295.97,305.2,295.25,304.83,46210000
04-26-2023,296.7,299.57,292.73,295.37,64480000
04-25-2023,279.51,281.6,275.37,275.42,40230000
04-24-2023,282.09,284.95,278.72,281.77,26510000
04-21-2023,285.01,286.27,283.06,285.76,21680000
04-20-2023,285.25,289.03,285.08,286.11,23240000
04-19-2023,285.99,289.05,284.54,288.45,17080000
04-18-2023,291.57,291.76,287.01,288.37,20100000
04-17-2023,289.93,291.6,286.16,288.8,23840000
04-14-2023,287,288.48,283.69,286.14,20990000
04-13-2023,283.59,289.9,283.17,289.84,24120000
04-12-2023,284.79,287.01,281.96,283.49,27400000
04-11-2023,285.75,285.98,281.64,282.83,27200000
04-10-2023,289.21,289.6,284.71,289.39,23030000
04-06-2023,283.21,292.08,282.03,291.6,29770000
04-05-2023,285.85,287.15,282.92,284.34,22000000
04-04-2023,287.23,290.45,285.67,287.18,25780000
04-03-2023,286.52,288.27,283.95,287.23,24840000
03-31-2023,283.73,289.27,283,288.3,32700000
03-30-2023,284.23,284.46,281.48,284.05,24990000
03-29-2023,278.96,281.14,278.41,280.51,25090000
03-28-2023,275.79,276.14,272.05,275.23,21840000
03-27-2023,280.5,281.46,275.52,276.38,26760000
03-24-2023,277.24,280.63,275.28,280.57,28200000
03-23-2023,277.94,281.06,275.2,277.66,36380000
03-22-2023,273.4,281.04,272.18,272.29,34730000
03-21-2023,274.88,275,269.52,273.78,33990000
03-20-2023,276.98,277.48,269.85,272.23,42780000
03-17-2023,278.26,283.33,276.32,279.43,69530000
03-16-2023,265.2,276.56,263.28,276.2,53640000
03-15-2023,259.98,266.48,259.21,265.44,45770000
03-14-2023,256.75,261.07,255.86,260.79,33340000
03-13-2023,247.4,257.91,245.73,253.92,33340000
03-10-2023,251.08,252.79,247.6,248.59,28330000
03-09-2023,255.82,259.56,251.58,252.32,26480000
03-08-2023,254.04,254.54,250.81,253.7,17340000
03-07-2023,256.3,257.69,253.39,254.15,21470000
03-06-2023,256.42,260.12,255.98,256.87,24110000
03-03-2023,252.19,255.62,251.39,255.29,29280000
03-02-2023,246.55,251.4,245.61,251.11,24750000
03-01-2023,250.76,250.93,245.79,246.27,26530000
02-28-2023,249.07,251.49,248.73,249.42,22490000
02-27-2023,252.46,252.82,249.39,250.16,21190000
02-24-2023,249.96,251,248.1,249.22,24990000
02-23-2023,255.56,256.84,250.48,254.77,29220000
02-22-2023,254.09,254.34,250.34,251.51,22490000
02-21-2023,254.48,255.49,251.59,252.67,28400000
02-17-2023,259.39,260.09,256,258.06,30000000
02-16-2023,264.02,266.74,261.9,262.15,29190000
02-15-2023,268.32,270.73,266.18,269.32,28360000
02-14-2023,272.67,274.97,269.28,272.17,37050000
02-13-2023,267.64,274.6,267.15,271.32,44430000
02-10-2023,261.53,264.09,260.66,263.1,25820000
02-09-2023,273.8,273.98,262.8,263.62,39680000
02-08-2023,273.2,276.76,266.21,266.73,54250000
02-07-2023,260.53,268.77,260.08,267.56,50450000
02-06-2023,257.44,258.3,254.78,256.77,22440000
02-03-2023,259.54,264.2,257.1,258.35,29080000
02-02-2023,258.82,264.69,257.25,264.6,39180000
02-01-2023,248,255.18,245.47,252.75,29930000
01-31-2023,243.45,247.95,242.95,247.81,26540000
01-30-2023,244.51,245.6,242.2,242.71,25690000
01-27-2023,248.99,249.83,246.83,248.16,26500000
01-26-2023,243.65,248.31,242,248,33159999
01-25-2023,234.48,243.3,230.9,240.61,66360000
01-24-2023,242.5,243.95,240.44,242.04,34490000
01-23-2023,241.1,245.16,239.65,242.58,31510000
01-20-2023,234.85,240.74,234.51,240.22,35390000
01-19-2023,233.78,235.52,230.68,231.93,28380000
01-18-2023,241.57,242.38,235.52,235.81,30030000
01-17-2023,237.97,240.91,237.09,240.35,29720000
01-13-2023,237,239.37,234.92,239.23,21330000
01-12-2023,235.26,239.9,233.56,238.51,27170000
01-11-2023,231.29,235.95,231.11,235.77,28390000
01-10-2023,227.76,231.31,227.33,228.85,26870000
01-09-2023,226.45,231.24,226.41,227.12,27040000
01-06-2023,223,225.76,219.35,224.93,43610000
01-05-2023,227.2,227.55,221.76,222.31,39230000
01-04-2023,232.27,232.87,225.96,229.1,50280000
01-03-2023,243.08,245.75,237.4,239.58,25680000
12-30-2022,238.21,239.96,236.66,239.82,21940000
12-29-2022,235.65,241.92,235.65,241.01,19740000
12-28-2022,236.89,239.72,234.17,234.53,17200000
12-27-2022,238.7,238.93,235.83,236.96,16420000
12-23-2022,236.11,238.87,233.94,238.73,21210000
12-22-2022,241.26,241.99,233.87,238.19,28620000
12-21-2022,241.69,245.62,240.11,244.43,23670000
12-20-2022,239.4,242.91,238.42,241.8,25080000
12-19-2022,244.86,245.21,238.71,240.45,29630000
12-16-2022,248.55,249.84,243.51,244.69,86100000
12-15-2022,253.72,254.2,247.34,249.01,35490000
12-14-2022,257.13,262.59,254.31,257.22,35410000
12-13-2022,261.69,263.92,253.07,256.92,42120000
12-12-2022,247.45,252.54,247.17,252.51,30430000
12-09-2022,244.7,248.31,244.16,245.42,20610000
12-08-2022,244.84,248.74,243.06,247.4,22550000
12-07-2022,244.83,246.16,242.21,244.37,20430000
12-06-2022,250.82,251.86,243.78,245.12,22430000
12-05-2022,252.01,253.82,248.06,250.2,22560000
12-02-2022,249.82,256.06,249.69,255.02,21530000
12-01-2022,253.87,256.12,250.92,254.69,26040000
11-30-2022,240.57,255.33,239.86,255.14,47590000
11-29-2022,241.4,242.79,238.21,240.33,17960000
11-28-2022,246.08,246.65,240.8,241.76,24810000
11-25-2022,247.31,248.7,246.73,247.49,9200000
11-23-2022,245.1,248.28,244.27,247.58,19510000
11-22-2022,243.59,245.31,240.71,245.03,19670000
11-21-2022,241.43,244.67,241.19,242.05,26390000
11-18-2022,243.51,243.74,239.03,241.22,27610000
11-17-2022,237.78,243.25,237.63,241.68,23120000
11-16-2022,242.79,243.8,240.42,241.73,24090000
11-15-2022,245.66,247,240.03,241.97,31390000
11-14-2022,241.99,243.91,239.21,241.55,31120000
11-11-2022,242.99,247.99,241.93,247.11,34620000
11-10-2022,235.43,243.33,235,242.98,46270000
11-09-2022,227.37,228.63,224.33,224.51,27850000
11-08-2022,228.7,231.65,225.84,228.87,28190000
11-07-2022,221.99,228.41,221.28,227.87,33500000
11-04-2022,217.55,221.59,213.43,221.39,36790000
11-03-2022,220.09,220.41,213.98,214.25,36630000
11-02-2022,229.46,231.3,220.04,220.1,38410000
11-01-2022,234.6,235.74,227.32,228.17,30590000
10-31-2022,233.76,234.92,231.15,232.13,28360000
10-28-2022,226.24,236.6,226.05,235.87,40650000
10-27-2022,231.04,233.69,225.78,226.75,40420000
10-26-2022,231.17,238.3,230.06,231.32,82680000
10-25-2022,247.26,251.04,245.83,250.66,34780000
10-24-2022,243.76,247.84,241.29,247.25,24910000
10-21-2022,234.74,243,234.5,242.12,26300000
10-20-2022,235.77,241.31,234.87,236.15,21810000
10-19-2022,237.04,239.61,234.29,236.48,19990000
10-18-2022,243.24,243.93,235.37,238.5,26330000
10-17-2022,235.82,238.96,235.13,237.53,28140000
10-14-2022,235.54,237.24,228.34,228.56,30200000
10-13-2022,219.85,236.1,219.13,234.24,42550000
10-12-2022,225.4,227.86,223.96,225.75,21900000
10-11-2022,227.62,229.06,224.11,225.41,30470000
10-10-2022,233.05,234.56,226.73,229.25,29740000
10-07-2022,240.9,241.32,233.17,234.24,37770000
10-06-2022,247.93,250.34,246.08,246.79,20240000
10-05-2022,245.99,250.58,244.1,249.2,20350000
10-04-2022,245.09,250.36,244.98,248.88,34890000
10-03-2022,235.41,241.61,234.66,240.74,28880000
09-30-2022,238.29,240.54,232.73,232.9,35690000
09-29-2022,238.89,239.95,234.41,237.5,27480000
09-28-2022,236.81,242.33,234.73,241.07,29030000
09-27-2022,239.98,241.8,234.5,236.41,27020000
09-26-2022,237.04,241.45,236.9,237.45,27690000
09-23-2022,239.54,241.13,235.2,237.92,34180000
09-22-2022,237.87,243.86,237.57,240.98,31060000
09-21-2022,244.27,247.66,238.9,238.95,28630000
09-20-2022,242.07,243.51,239.64,242.45,26660000
09-19-2022,242.46,245.14,240.85,244.52,26830000
09-16-2022,244.26,245.3,242.06,244.74,39790000
09-15-2022,249.77,251.4,244.02,245.38,31530000
09-14-2022,253.53,254.23,249.86,252.22,23910000
09-13-2022,258.84,260.4,251.59,251.99,33350000
09-12-2022,265.78,267.45,265.16,266.65,18750000
09-09-2022,260.5,265.23,260.29,264.46,22090000
09-08-2022,257.51,260.43,254.79,258.52,20320000
09-07-2022,254.7,258.83,253.22,258.09,24130000
09-06-2022,256.2,257.83,251.94,253.25,21330000
09-02-2022,261.7,264.74,254.47,256.06,22860000
09-01-2022,258.87,260.89,255.41,260.4,23260000
08-31-2022,265.39,267.11,261.33,261.47,24790000
08-30-2022,266.67,267.05,260.66,262.97,22770000
08-29-2022,265.85,267.4,263.85,265.23,20340000
08-26-2022,279.08,280.34,267.98,268.09,27550000
08-25-2022,277.33,279.02,274.52,278.85,16579999
08-24-2022,275.41,277.23,275.11,275.79,18140000
08-23-2022,276.44,278.86,275.4,276.44,17530000
08-22-2022,282.08,282.46,277.22,277.75,25060000
08-19-2022,288.9,289.25,285.56,286.15,20570000
08-18-2022,290.19,291.91,289.08,290.17,17190000
08-17-2022,289.74,293.35,289.47,291.32,18250000
08-16-2022,291.99,294.04,290.42,292.71,18100000
08-15-2022,291,294.18,290.11,293.47,18090000
08-12-2022,288.48,291.91,286.94,291.91,22620000
08-11-2022,290.85,291.21,286.51,287.02,20070000
08-10-2022,288.17,289.81,286.94,289.16,24690000
08-09-2022,279.64,283.08,277.61,282.3,23410000
08-08-2022,284.05,285.92,279.32,280.32,18760000
08-05-2022,279.15,283.65,278.68,282.91,16770000
08-04-2022,281.8,283.8,280.17,283.65,18100000
08-03-2022,276.76,283.5,276.61,282.47,23520000
08-02-2022,276,277.89,272.38,274.82,22750000
08-01-2022,277.82,281.28,275.84,278.01,21540000
07-29-2022,277.7,282,276.63,280.74,32150000
07-28-2022,269.75,277.84,267.87,276.41,33460000
07-27-2022,261.16,270.05,258.85,268.74,45990000
07-26-2022,259.86,259.88,249.57,251.9,39350000
07-25-2022,260.99,261.5,256.81,258.83,21060000
07-22-2022,265.24,265.33,259.07,260.36,21880000
07-21-2022,259.79,264.89,257.03,264.84,22400000
07-20-2022,259.9,264.87,258.91,262.27,22790000
07-19-2022,257.58,259.72,253.68,259.53,25010000
07-18-2022,259.75,260.84,253.3,254.25,20980000
07-15-2022,255.72,260.37,254.77,256.72,29770000
07-14-2022,250.57,255.14,245.94,254.08,25100000
07-13-2022,250.19,253.55,248.11,252.72,29500000
